locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-351,154kv_RF_입구,WORK_AREA,gate,154kV,RF,,POINT,SHORT_STAY,GW-351,1,WORK,medium,2.0,,,False,Y1_SKHynix,351,154kv_RF_입구,9.0,28.0,36.0,137.0,v2
GW-352,154kv_2F_X06Y02,WORK_AREA,work_area,154kV,2F,,POINT,SHORT_STAY,GW-352,1,WORK,medium,2.0,,,False,Y1_SKHynix,352,154kv_2F_X06Y02,9.0,27.0,9.0,57.0,v2
GW-241,154kv_작업장입구,WORK_AREA,gate,154kV,1F,,POINT,SHORT_STAY,GW-241,1,WORK,medium,2.0,,,False,Y1_SKHynix,241,154kv_작업장입구,9.0,19.0,19.0,2.0,v2
GW-357,154kv_2F_X17Y02,WORK_AREA,work_area,154kV,2F,,POINT,SHORT_STAY,GW-357,1,WORK,medium,2.0,,,False,Y1_SKHynix,357,154kv_2F_X17Y02,9.0,27.0,29.0,59.0,v2
GW-177,154kv_1F_X10Y03,WORK_AREA,work_area,154kV,1F,,POINT,SHORT_STAY,GW-177,1,WORK,medium,2.0,,,False,Y1_SKHynix,177,154kv_1F_X10Y03,9.0,19.0,17.0,130.0,v2
GW-172,154kv_1F_X17Y03,WORK_AREA,work_area,154kV,1F,,POINT,SHORT_STAY,GW-172,1,WORK,medium,2.0,,,False,Y1_SKHynix,172,154kv_1F_X17Y03,9.0,19.0,29.5,131.0,v2
GW-354,154kv_2F_X10Y02,WORK_AREA,work_area,154kV,2F,,POINT,SHORT_STAY,GW-354,1,WORK,medium,2.0,,,False,Y1_SKHynix,354,154kv_2F_X10Y02,9.0,27.0,17.0,58.0,v2
GW-173,154kv_1F_X06Y02,WORK_AREA,work_area,154kV,1F,,POINT,SHORT_STAY,GW-173,1,WORK,medium,2.0,,,False,Y1_SKHynix,173,154kv_1F_X06Y02,9.0,19.0,8.5,60.0,v2
GW-201,cub_B1F_X05Y08,WORK_AREA,work_area,CUB,B1F,,POINT,SHORT_STAY,GW-201,1,WORK,medium,2.0,,,False,Y1_SKHynix,201,cub_B1F_X05Y08,3.0,6.0,50.0,65.0,v2
GW-214,cub_B1F_X13Y04,WORK_AREA,work_area,CUB,B1F,,POINT,SHORT_STAY,GW-214,1,WORK,medium,2.0,,,False,Y1_SKHynix,214,cub_B1F_X13Y04,3.0,6.0,143.0,28.0,v2
GW-253,cub_호이스트_1-0,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-253,1,WORK,medium,2.0,,,False,Y1_SKHynix,253,cub_호이스트_1-0,3.0,5.0,2.0,86.0,v2
GW-204,cub_1F_X17Y06,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-204,1,WORK,medium,2.0,,,False,Y1_SKHynix,204,cub_1F_X17Y06,3.0,5.0,191.0,51.0,v2
GW-197,cub_1F_X13Y09,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-197,1,WORK,medium,2.0,,,False,Y1_SKHynix,197,cub_1F_X13Y09,3.0,5.0,142.0,79.0,v2
GW-205,cub_1F_X03Y07_망실,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-205,1,WORK,medium,2.0,,,False,Y1_SKHynix,205,cub_1F_X03Y07_망실,3.0,5.0,24.0,61.0,v2
GW-211,cub_1F_X09Y06,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-211,1,WORK,medium,2.0,,,False,Y1_SKHynix,211,cub_1F_X09Y06,3.0,5.0,95.0,52.0,v2
GW-200,cub_B1F_X01Y05,WORK_AREA,work_area,CUB,B1F,,POINT,SHORT_STAY,GW-200,1,WORK,medium,2.0,,,False,Y1_SKHynix,200,cub_B1F_X01Y05,3.0,6.0,2.0,37.0,v2
GW-207,cub_B1F_X06Y05,WORK_AREA,work_area,CUB,B1F,,POINT,SHORT_STAY,GW-207,1,WORK,medium,2.0,,,False,Y1_SKHynix,207,cub_B1F_X06Y05,3.0,6.0,61.0,39.0,v2
GW-210,cub_B1F_X08Y04,WORK_AREA,work_area,CUB,B1F,,POINT,SHORT_STAY,GW-210,1,WORK,medium,2.0,,,False,Y1_SKHynix,210,cub_B1F_X08Y04,3.0,6.0,85.0,28.0,v2
GW-199,cub_1F_X05Y09,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-199,1,WORK,medium,2.0,,,False,Y1_SKHynix,199,cub_1F_X05Y09,3.0,5.0,48.0,79.0,v2
GW-203,cub_1F_X08Y09,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-203,1,WORK,medium,2.0,,,False,Y1_SKHynix,203,cub_1F_X08Y09,3.0,5.0,83.0,79.0,v2
GW-198,cub_B1F_X03Y05,WORK_AREA,work_area,CUB,B1F,,POINT,SHORT_STAY,GW-198,1,WORK,medium,2.0,,,False,Y1_SKHynix,198,cub_B1F_X03Y05,3.0,6.0,28.0,38.0,v2
GW-202,cub_1F_X13Y07_망실,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-202,1,WORK,medium,2.0,,,False,Y1_SKHynix,202,cub_1F_X13Y07_망실,3.0,5.0,142.0,60.0,v2
GW-206,cub_1F_X17Y09,WORK_AREA,work_area,CUB,1F,,POINT,SHORT_STAY,GW-206,1,WORK,medium,2.0,,,False,Y1_SKHynix,206,cub_1F_X17Y09,3.0,5.0,190.0,78.0,v2
