locus_id,locus_name,locus_type,hazard_level,hazard_grade,dwell_category,confined_space,height_risk,minimum_crew,work_permit_required
GW-351,154kv_RF_입구,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-352,154kv_2F_X06Y02,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-241,154kv_작업장입구,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-357,154kv_2F_X17Y02,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-177,154kv_1F_X10Y03,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-172,154kv_1F_X17Y03,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-354,154kv_2F_X10Y02,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-173,154kv_1F_X06Y02,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-201,cub_B1F_X05Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-214,cub_B1F_X13Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-253,cub_호이스트_1-0,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-204,cub_1F_X17Y06,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-197,cub_1F_X13Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-205,cub_1F_X03Y07_망실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-211,cub_1F_X09Y06,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-200,cub_B1F_X01Y05,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-207,cub_B1F_X06Y05,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-210,cub_B1F_X08Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-199,cub_1F_X05Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-203,cub_1F_X08Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-198,cub_B1F_X03Y05,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-202,cub_1F_X13Y07_망실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-206,cub_1F_X17Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-208,cub_1F_X21Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-209,cub_1F_X20Y06,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-213,fab_1F_X16Y15_휴게실_F03_1층2번_망실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
